,label,location,tweet_text
546,1,New York via Nashville,so weird that this anti rally is all white people
547,0,Florida,and are calling washington dcs march for life rally anti-abortion and not pro-life #marchforlife
548,0,Southern California ,wow sick u use pro-choice instead of pro-death and anti-abortion instead of pro-life
549,,,how long before someone comes out and says he forced them to have an
550,,Los Angeles ,president porn lecturing people about sick sick sick
551,0,,destroys those who cannot defend themselves hypocrites
552,,"New Jersey, USA",donald trump has definitely paid for an at some point in his life
553,1,,how do know does kill do we have any scientific evidence #freedomforall
554,,"BETHANY, IL",only couple minutes into s anti-abortion rally speech and hes bragging about stock market impressive
555,,,day before womens march trump is speaking nonsense at an anti-abortion rally which is some class trolling if you ask me
556,,"Washington, USA",#marchforlife tiffany trump really dad anti-abortion are you really going there
557,1,Droitwich,it's not even baby at stage of have you never learnt biology it's foetus
558,,"San Francisco, CA",bbcnews am trump's first year trump addressing leaders at anti-abortion rights group trump's first year groups panicipang
559,0,"Chicago, IL",it's always so transparent how important it is for them to pretend doesn't kill baby they know that's hard sell
560,,"Pinole, California",signs in #marchforlife crowd show virgin of guadalupe proclaim i am pro abundant and pray to stop
561,1,,in kentucky my own health care plan refuses to pay for not covered
562,1,United States,what is this happy horseshit access to is law of land how many did you pay for
563,,"Maine, USA",i wonder how many women have had for trump
564,,Anywhere USA,would you of payed stormy to have an if yourgod donald trump would of got her pregnant i bet you would
565,,everywhere,look at your children best argument ever for
566,,"San Francisco, CA",msnbc am trump honored proud to address anti-abortion rally trump well always defend right to
567,1,TEXAS!!,has nothing to do with opinion of these bible-thumping self-righteous assholes
568,1,"Los Angeles, CA",is legal you are literally protesting something that is legal
569,,"Friday Harbor, WA",and other #fakechristian who we are all pretty sure hes paid mistresses off for he and pence are vile
570,,,he is grateful everyday for each and every he paid for
571,,,spkg anti-abortion rally says his admin will support pro-liferspts out us is of only countries wh allow late term
572,0,United Kingdom,very much dislike donald trump and im pro-choice but his speech on alternatives to is good
573,,"Texas, USA",i'm sorry but didn't ask marla maples to have an
574,0,las vegas,babies have lost their lives to since in united states #marchforlife
575,,United States,anti rally led by man who has had affairs with porn stars while his wife was pregnant yeah real moral leader there
576,,"New York, USA",pornstar fornicator in chief speaking at anti rally to say it's joke is wild understatement
577,,USA,now trump is acting all righteous speaking at an anti rally can you believe it
578,,SCOTLAND,watching trump live re this is utterly horrific
579,,"Calgary, AB Canada",media should be playing audio recordings of him trying to bully her into getting an
580,,"Garland, Texas",wow - trump talks about economy jobs at an anti-abortion rally stay on topic
581,,Down in a Hole,oh and he lieslate term is only done in extreme cases it is not regular practice
582,1,Jamaica,trump is trying to making illegal tell me now what is that going to achieve
583,,"Fortaleza, Brasil",if men got pregnant could be done at nordstrom
584,0,,does no vote on 'born-alive survivors protection act' mean those people voted yes to killing live babies
585,1,Dorset,why are right anti-abortion and yet pro-guns
586,,,you made stormy daniel have an
587,,NYC,making america great again when president addresses nation's biggest annual anti-abortion rally as government shutdown looms
588,,"California, USA",can't help but think he has funded an or two in his lifetime
589,,"Vegas, Baby!",how about retroactive in some cases it'd be for best
590,,"Shithole, USA",would bet trump has paid for someone's
591,,"Forney, Texas",didnt he try to force marla maples to have an
592,,USA,so-called president is talking about rise in employment among minorities during b obama's presidency -- at an anti-abortion rally
593,1,,sorry #california is no longer going to be an option for medicaid regarding contraception
594,,United States,i find it really hard to believe trump's never coerced someone to have an
595,1,Caribbean,when trump talks about saying it's wrong yes but what about orphans
596,0,an o'neill cylinder at a convenient lagrange point near you.,imagine how great it would be if trump's anti-abortion speech went along lines of 'folks is awful believe me i know'
597,1,Toronto,gee america has super permissive laws said no one ever
598,,"Richmond, VA",trump is all doped up again on white house lawn slurring his strange lies at anti-abortion event
599,,,president lied again today stating that woman can get it in in her ninth of pregnancy check your facts
600,,,you have temerity to demonize women in poor countries who need rights you are evil
601,,"Georgia, USA",i have flu i didnt think i could feel worse then i turned on tv and saw this revolting anti mob
602,,,if it was up to there would be no
603,,"DFW, Texas",excellent speech on house floor concerning sir
604,,"Iowa, yes Iowa. Turn it blue.",and i have anti rally to go to
605,0,"Tacoma, WA",i don't agree with either it's murder but change society not laws
606,,The Incomparable 31st State,#trump talking economy at anti-abortion rallyi see tsunami #bluewave coming your way #trump #fakechristian
607,0,,glad to see mike pence speaking at #marchforlife is genocide
608,,"Austin, Texas",trump is just straight up lying about right now #marchforlife
609,,"Baltimore, MD",glad you pointed out that we don't allow in ninth month and since when are you trump fan
610,,"Loveland, OH",you can not have an elective late term you lying pig
611,0,The BLUE state of VA,- doesnt your pal use american s to support
612,1,"Connecticut, USA",you are prime example of why is much needed
613,,"Houston, Tx",who inserted economic talking point in teleprompter for at anti rally
614,1,TEXAS!!,is medical procedure has nothing to do with religion or politics
615,,"Boston, MA",you can't argue declaration of independence in court of law as an anti-abortion defense
616,1,,yet no one is locked up for having legal it's not murder
617,,"Thousand Oaks, CA",guy who has unprotected sex with porn stars isn't against how does anyone believe this nonsense
618,,delaware county pa,i hope someone who trump knocked up then paid for comes forward
619,,,what hell hes at an anti-abortion rally talking about how great he is self centered son of bitch
620,,"Brighton, England",is this dotard really talking economy at an anti rally he is delusional
621,,"Virginia, USA",too bad wasn't mandatory when you came along
622,,"Denver, CO",talks about stock market at anti-abortion rally
623,,huntington wv,#marchforlife honestly do you think womanizer donald trump has paid for an in past
624,,"Vegas, Baby!",listen to all lies this asshole spouts about late-term sanctity of life my ass
625,0,Texas,is greatest human rights crisis of our time - million dead children
626,,,with trump it will be something like he promised to pair for an but renegged on commitment
627,,Hockeytown,didn't trump try to talk marla maples into getting an
628,,,on top of everything right now trump is now picking fight on seriously john kelly just said f-it go #plannedparenthood
629,,"Kentucky, USA",trump can't get through one fucking speech without lying there is no such thing as an at nine months #moroninchief
630,1,TEXAS!!,all these anti-abortion protesters can go fuck themselves mind your own fucking business assholes
631,,USA,trump wanted marla mapels to get an how is he pro
632,0,,'feminists' claim to champion all women while they continue to have our women of tomorrow murdered must end #silenceisbetrayal
633,,,has anyone asked trump if he has paid for an directly or indirectly through rhonda kurt or cohen
634,,"Kentucky, USA",i'd bet money he's paid for an
635,1,United States,pretty sure anti abortionpro life movement is all about white life always thought it trump administration support clinches it for me
636,,United States of America,- can you check into dt's porn past and see if any exist
637,0,Manila,trump says he supports bill seeking to end painful late term #marchforlife #whywemarch #lovesaveslives
638,,"Denver, CO",could care less about he's probably paid for few he only cares about their vote #wakeup
639,,Earth,did trump just say it's wrong that woman can get an at nine months yeah he did
640,0,"West Chester, Ohio",fun fact at least one person dies following successful
641,,VA. DC.,good on my way to pp for my th i have punch card but get th free
642,0,,more black babies were murdered thru in new york city last year than were born where was blm
643,,,you wanted marla to get an
644,0,"London, England",what i find strange is that everyone who is for has already been born very very strange indeed
645,1,"Georgia, USA",i find it ironic that anti-abortion folk are pro death penalty
646,0,,- it's not an anti-abortion march it's pro-life march #marchforlife #marchforlife
647,,,is it just me or does listening to tump talk about make me want to vomit he should have been aborted just saying
648,0,HockeyTown USA,isnt fucking birth control option
649,,22 km SSW of nowhere special,apparently has seriously devolved on subject of and choice
650,,Hofstra University ,so many things i hate about this administration but talking at an anti-abortion rally has put cherry on top
651,0,,thank you for marching for voices unheard needs to stop i am pro life
652,0,Bookings: djalixb@gmail.com ,#lovesaveslives no need for
653,1,,it's real problem when most powerful man in world thinks it's okay to have an anti-abortion march
654,,,this anti-abortion rose garden speech is so ignorant and filled with lies it's making me sick
655,,Planet Earth,another fact moses was pro
656,0,Celtica ,strange how term for baby changes depending on whether or not to get an
657,,"New York, NY",telling anti-abortion crowd about stock market that would have benefited all #trump
658,1,"New Mexico, USA",fuck your anti-abortion rally
659,1,HockeyTown USA,see trump is more like myself hes not even anti hes just against late term i am too
660,,"San Francisco, CA",bbcnews am trump's first year trump addressing leaders at anti-abortion rights group trump's first year trump addressing groups
661,,"Georgia, USA",from legal point of view at what point in time does become murder
662,,,trump is speaking at an anti-abortion rally this is bad man determined to keep war on women alive
663,,"Vancouver, British Columbia",ummm what hell dors economy have to do with pro-lifeanti-abortion rally
664,,New Haven,no need stormy daniels story and president's appearance at anti-abortion rally are inextricably linked
665,,"West Palm Beach, FL & Big 🍎",#trumpshutdown trading chip dreamers now #stormy
666,1,NEW YORK ,blows my mind is anti your privileged white dude youve never knocked up sluetter and had to take care of it
667,0,Republic of Texas,legal is simply state sanctioned murder
668,,Wisconsin,aca dropped rates to all time lows why do republicans like more kev
669,1,,what is wrong with why do these nutters hate it
670,0,United States,babies are allowed to be born in thm month who knew oh and by way only of americans support ok
671,0,,you wanna see how pro and pro life bs ends pull out buy some goddamn condoms or swallow problem solved
672,,,cnn chyron trump talks economy at anti-abortion rally
673,,DC,gotta love president bragging about economy to group of thousands of people who came to washington to end
674,,Los Angeles ,so president porn is speaking to an anti-abortion rally is stormy daniels in audience
675,,"British Columbia, Canada",nerve of him hes not pro-life he wanted marla to have an he makes me sick
676,,,on demand is that like on demand tv give me damn break how many of your mistresses have had #hypocrite #liar
677,,,trump has spread his seed high and low i'd wager he's paid for an or two or
678,,Canada,i'd be willing to bet my next paycheque that donnie has paid for at least one
679,1,Washington DC,what is this anti rally happening like what no
680,,Minneapolis MN,trump has definitely paid for at least one
681,,"Atlanta, GA",waiting on someone to come forward to claim trump paid for an its only matter of time
682,,,here he goes kissing his own ass again at anti rally
683,,"Chandler, AZ",trump is lying in speech on he is lying about our laws
684,,"Mystery Babylon, USA",said this is th #marchforlife proving that nothing has changed after all this time all talk no action
685,,"California, USA",is first president to have filled hole punches on his frequent buyer card at local clinic
686,,"Tampa, FL",ohforfuckssake he doesnt even like most of his own kids didnt he try to get marla maples to have an
687,,"Virginia, USA",do you support through out entire pregnancy
688,0,,late term is most heinous of murders thank god for gop leadership who wants to protect most innocent
689,,,isnt it hypocritical to be speaking at an anti rally and have failed to renew chip asking for myself
690,0,USA,women who have an should be aborted or deported #maga
691,,"Phoenix, AZ",ha joke is on you conservative scotus judge federal judges funding cut
692,,Earth,most permissive laws anywhere in world evidence
693,,,imagine if had knocked up - he wouldn't have asked her to get an right
694,,"Arizona, USA",only support more and more are for right to life from president trump on christian tv for right to life
695,,"Texas, USA",he should know since he used that to pay for an
696,0,America,planned parenthood has hurt too many communities in america needs to come to an end commentary
697,,,i wonder how #trumpfraud feels about in shithole countries
698,,USA ,if couple experiences miscarriage is that god performing an
699,,"Boulevard Park, WA",did trump just completely garble his speech and say that permissive laws allow babies to be born in th month #dotard
700,,"Clearwater,Fl",only support on demand where do they get their numbers
701,,"District of Columbia, USA",trump addressing #marchforlife participants says only of americans support on demand
702,,,trump segues from discussing to economy and stock market
703,1,,yo if i want to get an ima do that shit and government should have no say in that
704,1,"Delaware, USA",kicking kids out on one hand and against on other
705,,"Denver, CO",could care less about he only cares about their vote #wakeup
706,1,"Washington, DC",there is no such thing as on demand men have made it almost impossible in many states #marchforlife
707,,Southern California,trump speaking at an anti-abortion rally saying americans need to choose life and speaking against roe vs wade #dangerous
708,1,Toronto,canada doesn't even have an law ltliesgt
709,1,"Boston, MA",hey you dont believe in then dont have one
710,0,"Astoria, Queens",tens of thousands babies born into great health care education and great infrastructure #marchforlife #prolife #trumptedtalks
711,,"Monterey, CA",trump is so amoral his position on is based upon political expediency how many of trumps sex partners have had
712,,,donald trump addressing anti event is quite comical because there is absolutely woman out there who he made had an
713,,Wales UK,what puritanical prick that idiot trump is rambling on about
714,1,RHODE ISLAND,should be legal stop trying to police women's bodies
715,,,omg trump speaking about holy shit
716,,,also he probably voted for trump is against but whines about using condoms with you bc 'it doesn't feel good'
717,,"Las Vegas, Nevada",#latetermabortion r most disgusting thing several states allow it many progressives don't have problem with an th month
718,0,Winter's Last Gasp... a/k/a FL,if politician stopped worrying about politicsabortion could be outlawed to-day #marchforlife
719,0,Live in Taylorville Il. From Bakersfield CA.,lets stop using word and instead call baby killing what it is baby killing nuff said
720,1,"Dublin, Ohio",until there is free and accessible birth control for all i dont want to hear shit about
721,1,"Maine, USA",#badreasonstogetmarried didnt have access to affordable bc care was illegal and had other options
722,0,,#marchforlife has anti-abortion in headline no should be pro-life
723,0,,we are of countries that allow after weeks #marchforlife
724,,"Los Angeles, CA",i wish trump's mother had believed in
725,0,"Washington, DC",roe v wade has resulted in most permissive laws this needs to change #marchforlife #prolifeyouth
726,,Pegging @sethrogen ,donald trump is on tv saying you can have an at months pregnant
727,,Jersey,here goes trump lying about late term again i fucking hate this guy
728,,"Norfolk, VA",trump literally just said on demand
729,0,,fact-late term is murder if you dont think so go watch it #outnumbered
730,,New York,th month is not real thing its induced labor
731,,"Fort Worth, Texas",i wonder if hell tell these anti-abortion folks how many hes paid for #marchforlife #trumpfail
732,,"Oregon, USA",someone please ask if he's ever paid for an
733,,brighton,trump really just addressing leaders of anti-abortion rights group and praising them
734,,Left of Center ,over course of his life and philandering what are odds that no one trump associated with has had an
735,,Pittsburgh,what's he saying just have seen with porn stars on pill and there's no need for
736,,,to bad you're parents didn't believe in
737,,California,did trump just say love saves stormy at anti-abortion event
738,,,is republican party champion of religious values more than democrats such as
739,,Washington DC area,trump says us one of only countries that allow late-eterm it is wrong and it must change
740,,,can't nobody tell me donnie aint ever had an fuck out here
741,,"Silver Spring, MD",breaking trump seeking to overturn rowe vrs wade condemms
742,,"San Francisco, CA",msnbc am trump addresses anti-abortion event via satellite trump honored proud to address anti-abortion rally
743,,"Norfolk, VA",trump lying about right now this is propaganda
744,,"Pasadena and Sherman Oaks, Ca.",i wonder how many women trump enabled to have an of his fetus
745,0,Obamaland,is murder #marchforlife
746,0,The Paris of Appalachia,there is no such thing as an anti-abortion rights movement no rights are being denied to anti-choice activists fix your headline
747,,New York City,aztec
748,,,yep and pope is giving out st gregory awards to pro activists--
749,,Canada,canada encourages so they can bring in more new liberals
750,0,"Pennsylvania, USA",that's right end forever #marchforlife
751,,,but i thought was cool tho right
752,0,"North West, England",he's right it's too easy to get an
753,,"Tupelo, MS",because he thankfully believes is whats disgusting
754,,New England,sadly it's really easy he's spoken out against
755,1,,so is no one going to discuss how these people saving lives were same people bombing clinics #marchforlife
756,1,"Kirtland, NM",pro pro choice same thing
757,,,i hope someone in their group ends up getting coat-hangar on their kitchen table
758,1,,they arent angry until they get raped and now cant have an
759,,United States,i just got an at whole foods in between picking out my apples and kale it was so convenient
760,1,,plenty of people use and are okay with it dont twist narratives chris
761,1,,isnt murder but people using guns bombs famine torture etc to murder people is
762,,"California, USA",i refuse to retweet any of trumps hypocrisy- hes foul
763,,"Long Beach, NY",trump being anti is fake news im sure hes paid for several over years
764,,,give me break he doesnt care about or anyone or anything only money remember
765,,,because being pro life has never been about or babies it's about controlling women's sex life
766,,New York,it's just anti-abortion version of open borders
767,,"DFW, Texas",we will never get to end of as long as we're married to this tiny incrementalism #hr
768,,United States,good for you however if she had an you would have never known
769,1,"Sacramento, CA",its pretty easy you don't agree with don't have one boom problem solved
770,0,"La Porte, TX",when will criminal suggest laws against murder are wrong because laws conflict
771,,The Great White North,fuck you larry you unsupervised
772,,,im at coffee shop full of strollers concept of is so incredibly noble
773,,Kekistan,condolences for
774,1,"Charlotte, NC is still Blue!",why would anyone want to end how ignorant is that
775,1,"williamsport,pa",dont like dont have one dont tell me what to do with my body #marchforlife
776,,"Oak Glen, California",you assume response to pregnancy if child is black is that constitutes racism
777,,"Edmonton, Alberta",i think he's talking as baby is being born read paradigm book it'll all make sense
778,0,"Perkasie, Pa",re living humans beings us murder great post thank you
779,0,United States,didn't realize unitedstates is one of top on iam glad president broth march of life thank god
780,0,New York,pro-life movement is diverse coalition that only agree on stop trying to wedge it apart w urnotreallyprolife
781,,"Cottonwood Heights, UT",any of these forced to have an asking for movement
782,,"Washington, DC",first president to address anti march first president to legitimize white supremacy weve gone back in time years
783,,,march for life indeed playboy who is anti-abortion next thing putin will be speaking at free-press rally
784,,Virginia Beach,guy who came inside of porn star is addressing an anti-abortion event yep this is how zombie apocalypse starts
785,1,"Fort Worth, TX",there's this lil thing called separation of church and state so using ur lil bible verses to oppose is pointless
786,,Castle Of Glass,there is no law that allows an at moths #cultdelusions
787,,,so only support laws so loose as are in effect in canada
788,,,or get pregnant and have an your opinion is invalid
789,1,,nerve to support anti - when children who depend on chip is still up in air
790,,"Milwaukee, WI",you guys don't know one true thing about
791,0,"Rhode Island, USA",is not health care if you mean actual health care your tweet is deeply incorrect
792,,USA,ask him if he ever had an with stormy or anyone else
793,,"Bavaria, Germany",i sincerely wish there was an month limit i've got solid suggestion for first recipient as well
794,,,i've always believed trump's paid for an or two in his time
795,,United States,vs sexual assault is not moral equivalency debate you get to have with yourself
796,,,yikes is illegal in ireland then will there be referendum
797,,,unless they are brown fetuses then hes all for right
798,,"Kildare, Ireland",all aul ones in cork that interviewed were ironically against shock
799,,,unlikely hed promise to reimburse her after she pays for then refuse to pay after its done
800,,"Director, Center for Legal Studies, C-FAM, New York",you cannot explain to an year old it doesn't make sense #whywemarch
801,1,,i would go step further and say that is medical procedure
802,,"Oregon, USA",how about asking if he's ever paid for an
803,,,and is reported to have asked wife to have an
804,,"Skyraq, WA",stop telling people youre pregnant if youre just gonna get an
805,,"New York, NY",we need one to come forward and prove that trump paid for an certainly it has happened
806,0,Phoenix Arizona,someday will be looked upon as cruel and barbaric practice
807,0,,is not reproductive choice moron
808,1,,im pro choice because i think an is better than parent blaming their kids for ruining their lives
809,,,would you place any restricions whatsoever on
810,,,maybe he paid her to have an could have happened believe me
811,,Lost in chaos,addressing anti-abortion rally is ridiculous saves no lives wtout legal increase n back ally procedures death
812,0,"Williamsville, NY",is not healthcare face facts
813,0,,why it's almost like began in this nation for eugenicgenocidal reasons or something oh wait
814,,"Austin, TX",i so wish your parents had been in america when you were in utero so they could have exercised their rights
815,,Surrey BC,but would you call someone who identifies as pro-life anti-abortion
816,,"Dumpsterville, USA",i don't know why trump was invited to speak at march for life anyway considering what an of humanity he is
817,0,London,which us presidents have stood against and addressed #marchforlife #defundplannedparenthood #prolife
818,,,its exact opposite if you were responsible chances of having an would greatly be reduced
819,0,Pigeon Forge Tennessee,is murder
820,,,its funny that trump is marching because odds are he paid someone to get damn at least once in his life
821,0,"Nashville, TN",good better yet get rid of all together
822,1,,i love
823,0,"Ohio, USA",has no place in god's world #marchforlife
824,0,USA,if public was able to see late term would be banned
825,1,"California, USA",btw as of last year is at am all time low due to success family planning efforts such as pp centers
826,,USA,this is nonsense what is he saying is he talking about
827,,Virginia,don't forget that nice anti-abortion family with kids that they kept locked up for years fed once day
828,,Santa Monica,i dunno is or climate change reason they banned words science based and evidence based
829,1,,is not killing child
830,,,oh yeahlike you ever gave shits about til now i hate you and your ass face
831,0,"Minnesota, USA",well since was made to exterminate black lives i would say that march for lives is meant for all lives
832,,"Arizona, USA",rationalize your pro voting record however youd like
833,,"Washington, DC",i would put my entire life savings on him having paid for at least one
834,,"Cleveland, OH",over-under trump has made women have in his life
835,,"Milwaukee, Wisconsin USA",address's march for life anti-abortion rally today in washington dc #maga #marchforlife #righttolife
836,0,"New York, NY | Washington, DC",we will march until we end and we will end
837,1,,one that number is extremely outrageous two you know mother consents right she has choice of getting an
838,,USA,who knows what he meant to say is he talking about
839,,The First State ,anti-abortion but pro-pay off porn stars
840,0,Small town Ohio,use whatever term you want ends life of human being
841,,"Kansas City, MO",remember this is man that wanted to have women punished for having an but he's doing porn stars
842,1,,god supports numbers -
843,0,,praise god lets end murder of our fellow american citizens end now
844,1,,should not only be legal but encouraged there's too many humans on this planet you're an exception not rule
845,0,,is murder
846,,"Oklahoma, USA",it sounded okay in his head what he meant was th-month where is that legal
847,,Austin/Arkansas/Austin,it doesn't say anything in constitution about shut fuck up
848,0,Probably at Starbucks,is murder ya know
849,1,Below The Mason-Dixon ,regardless your stance on it is dangerous to revoke womans right to one some of yall genuinely shock me
850,0,The Socialist Republic of CA,who said that stop trying to justify by bringing up things completely unrelated
851,0,Colorado Springs,is seen by all too many as legitimate form of birth control
852,0,"Treasure Island, Florida",praying for you because #lovesaveslives biggest human rights violation in history
853,1,,isnt murder thats why its called and not murder your opinion is invalid
854,,Colleyville,he was for when his mistresses need one
855,,PA,did he mention his fond memories of pressuring marla to get an
856,,California,funny that trump would be opposed to given that his bumbling attorneys have paid for many of them on his behalf
857,0,"Springfield, MO",ive noticed that everyone who is for has already been born ronald reagan #marchforlife
858,,"Chicago, IL",most pro-life president you really expect me to believe this man has never paid for an before give me break
859,,,how about him paying for her to get an after unprotected sex
860,,,c'mon pence be honest tell us what israel's law is on on demandwith american tax payer dollars
861,,"Bonn, Germany",survivors are myth this bill is solution to fake problem
862,,"Los Angeles, CA",its in title of article pro
863,1,"St Louis, MO",if you do not want an do not get an
864,1,New York City,#marchforlife is great reminder that if men gave birth would have been included in articles of confederation
865,,"Bonn, Germany",survivors are pernicious myth
866,1,,rallying for to be outlawed is rallying for forcing women to give birth it's forced birth
867,1,,i think it's official we can call anti people target of russian mob
868,,,president of united states appeared live at an anti-abortion rally
869,,,hey remember when you wanted marla maples to have an
870,,World citizen ,what does have to do with govt or old men
871,,,as living and breathing argument for procedure trump has lot of hard work ahead of him to convince people to be against
872,,Madison. WI,sir- moment you become pregnant or alternately adopt crack baby i will listen to your views on abortion- not before
873,0,,if life does not begin at conception why is an used to kill non-life
874,0,,as long as they insist on calling it anti-abortion i will refer to them as anti-life
875,0,"Puyallup, WA",pro-choice's 'choice' to have an is contingent on choice that their own mother's did not have an
876,0,,aborting precious #child will leave you #empty #seek #god #death
877,,"London, England",re anti you sir are vile odious shit of highest order
878,1,United States,i fully support and recommend for jewish women
879,,"San Diego, CA",no one has ever been in position to be forced to perform an against their will
880,,Wirral/Liverpool,i can probably imagine that it was sad day in clinic day you arrived 'guru' kinell
881,,"Durham, NC",irish laws reflect perceptions of motherhood as essential to womanhood but do not actually reduce in-country rates
882,0,,if life does not begin at conception why is an used to kill non-life
883,,United States,#trump supports when he has to pay for it #presidentpervert #gophypocrites
884,,"Chicago, IL",is their relationship between singers infanticide arguments and openness of dnc to approve after birth
885,1,Freeing Palestine,free on demand no apologies #marchforlife
886,,,awaiting another porn star to state that dump paid her for an abortionthe countdown is on
887,,"Belmont, NC",and then goes on to speak about #sad #timesup
888,1,USA,anti yet end medicaid take away food to feed them keep wages low for ceo profit
889,,NY,trump -- is result of an done yrs after birth
890,1,,law says women's right to choose is legal is legal how about supporting those laws
891,,"Wexford, PA",now he opposes this is growth activists seek
892,,"Cumberland, RI",he might personally perform an on year old daca recipient while hes at it
893,,United States,he who does not use condoms do not tell me there is not an in his background get real
894,1,"Alexandria, VA",imagine world where say of energy spent protesting was directed toward fighting human trafficking or addiction or or
895,,,dont forget he wanted marla maples to have an but she refused
896,0,"Missouri, USA",spoiler some people are actually devastated by idea of and not just there to control women
897,1,"Palm Springs, Ca.",democrats want to fund of american babies while funding illegal babies birth
898,1,,does this unique evil persist when an saves life of mother
899,0,"Ohio, USA",how is being against anti-liberty #moron
900,,"Boston, Ma",deadbeat dad here has opinions on
901,,"Alton, Illinois ",agree about but im for death penalty
902,1,,my parents should have gotten an fucking republicans
903,,,i guess im missing context here that this means he wanted an
904,0,,i march because i champion women including unborn women who are killed every year by #marchforlife
905,0,"Director, Center for Legal Studies, C-FAM, New York",instead of funding what if that money was used to end that baby's disease instead of their life #whywemarch
906,0,Probably at Starbucks,agreed america should no longer fund clinic known as
907,1," Plymouth, MA. 023t",lets poison anti activists childrens as they spew toxins on soil
908,1,United States,is health care and health care is right #marchforlife #medicareforall
909,,"Farmingville, NY",now i am waiting to hear about women trump coherced to have an following an affair
910,,"Oregon, USA",please ask our pro-life if he's ever paid for an
911,,"Houston, TX",they do it on way to clinic
912,,,wow president valtrex talking about
913,0,,if you need an child is already too old to murder condoms are cheap enough and you have no excuse
914,,Middle America,also he told marla to get an when she got pregnant with tiffany before marriage
915,,"Toronto, Canada",there's no way in hell he hasn't paid for at least one in his life time
916,,,you ghouls always make wrong decision would that you could have retroactive
917,,,force wtf are you talking about nobody can force woman to have an
918,0,,take money from clinics that they are still getting and pay our military
919,0,"San Fernando Valley, Ca",makes you parent of dead baby
920,,"Dallas, TX",we await pro rally for naral
921,,"Leesburg, VA",seems #pornhubpotus thinks child birth in th month is an explains his birth i guess
922,,"St Augustine, FL",survivors
923,,,sexual deviant talking about how very american
924,,"Harriman, TN",will bring us dead babies you do see irony of that particular statement vis--vis
925,,,i agree with them when it comes to restrictions
926,,"Boston, MA",didn't ask marla maples to get an #hypocrite
927,,,their several dr that preformed and are now prolife whats your point
928,,Blue dot in a red state,rates have been at an all time low it wont stay that way on abstinence alone thats pretty much guaranteed sadly
929,0,,is big business that exploits women and unborn
930,,,all male gop need to shut their damn mouths about and reproductive rights period enough
931,1,,free on demand without apology #marchforlife
932,0,Notyourbusinesstwitter,marchers are pro-life not anti-abortion
933,,USA ,odds trump has paid for an
934,1,United States,get men out of decision making process its up to woman on it should not be political
935,,"Manhattan, NY",i agree that here its disrespectful and intended to be smear but im personally ok with being called anti-abortion
936,0,,no she's selfish inhumane and murderer abortionmurder
937,,"Gay, Lol",all banning would do is increase number of backalley why make it less safe for people
938,1,United States,men dont have say on period literally period you dont get period you dont give birth you dont have say bye now
939,1,,friendly reminder that banning wont stop it just stops safe
940,0,,also lot of christian missionaries in africa spreading messages of anti-abortion
941,0,"Los Angeles, CA",love all those christians who support him and stormy daniels as long as hes anti
942,,"Southampton, England",where do islams stand on
943,,Long Island,what if someone forced you to have how would you feel
944,,"Alabama, USA",youmean wouldn't stop if made illegal how shocking #trumpshutdown
945,,Maryland,she's not saying it's an re-read and use comprehension skills
946,,,that isnt your question is invalid
947,1,,so what should priests at an all-boys school say about nothing they should shut fuck up
948,,mississippi,what about mens choice in an so prevents fathers choice
949,,Austin,this does raise question how many supporters would trump lose if he preformed an on wh lawn
950,1,"Whitesboro, NY",i will never regret my #marchforlife
951,0,,i have son that will be this year he lives because i refused to let my x get an
952,,,how much do you want to bet that donald trump has his local clinic on speed dial #marchforlife
953,,East Coast,asked republican friend apparently he was trying to talk about late-stage not birth ffs
954,1,northern New Jersey,who would choose i would i did twice i wanted child i grieved those but i do not regret them
955,1,FUCK TWITTER,i think should be completely illegal
956,,United States,dumps on tape on howard stern saying he encouraged one of his wives to get an
957,1,"St Louis, MO",at least you said 'anti-abortion' instead of pro-life
958,,"Fairfax, VA",how is right to life effectivel opinions on hardly moved for decades
959,0,,i love fact that all liberal idiots on this thread think that is only option
960,1,,you don't want an ok don't get one
961,0,,don't agree with tho
962,0,"Pennsylvania, USA",i dont like idea of at same time if womans life is in danger then yes
963,,,its shame that pope is busying himself by handing out medals to advocates
964,1,,if you dont want an dont have one but let every woman make her own decision
965,1,,an is something done out of necessity not out of want christ
966,1,,sorry dude but i can't be shamed for supporting rights i'm woman who might need an one day
967,,,do republicans think c-section is same as an too
968,0,"Chicago, Il",wrong opposite is true is forced death is murder
969,,native of so cal in deep south,i'm pretty sure he was talking about late termpartial birth abortion- but who knows with trump
970,1,Cleveland  Ohio USA,your party is reason why should be woman's choice and not government
971,1,,to of pregnancies end in miscariage if is murder god must be serial killer
972,,,but you would object to an unemployed woman seeking an
973,1,Follow my music @DOsbornemusic,show me where is outlawed in christian bible or any other major religious book #marchforlife
974,1,United States,how many were aborted prior to roe v wade making it illegal won't prevent
975,0,"Treasure Island, Florida",no you are wrong they are trying to protect women from life long scourge of
976,1,,i don't care how much you personally believe that is wrong you don't get to deny women right to make that choice
977,0,,this is pure stupidity ban this legal murder of unborn children is evil
978,0,"Vienna, VA",no one should have an everyone should have an assault rifle #goplogic #gopmorality
979,,Virginia,im sure trump was counting on those rights when he had adulterous unprotected intercourse with an adult movie actress
980,,,
981,,,i'd bet almost anything he has paid for an
982,,USM,i wonder if ivanka had trump's
983,,New York,i think he meant torn which is also ridiculous theres no such thing as an at months thats called birth
