,label,location,tweet_text
2117,1,Twitter Hall of Fame,america would look lot more like haiti if not for #marchforlife
2122,1,,billion people now projected billion people n is probably way humanity will survive
2134,1,"Tacoma, WA",two points about one woman's right so fuck off two wish your mother had that option #trumpisracist
2135,1,PA,fucking good should be personal responsibility
2136,1,,how is it pro-life to kill an doctor to threaten his family to intimidate women entering an clinic it's not
2139,1,"Brooklyn, NY",oh i want at will
2146,1,,pregnancy and childbirth carries more long term physical and mental health risks than
2152,1,"California, USA",keep legal so scumbags like this idiot are never born
2153,1,Ibadan ,if is murder then use of condom is that not kidnapping
2167,1,"In my room, probably.",anyway is human right __ #marchforlife
2168,1,,heres deal you shit for brains fool when youre capable of giving birth you can comment on until then stfu
2175,1,"Charlotte, NC is still Blue!",every is important to woman undergoing procedure its not your say
2180,1,"Georgia, USA",isn't killing though lol
2181,1,Tonga,hear me out folks rights actually good
2187,1,,how can you be against but be ok with letting children starvethat is ultimate in hypocrisy
2188,1,Elysian Fields 401,is lit
2190,1,America ,i only set rules for my personal opinions but i think rights should remain
2207,1,"New London, CT.",you don't agree with don't have one
2209,1,the proverbial shit hole,#whywemarch for accessible contraception and comprehensive sexual education standards in order to reduce rates #safelegalandrare
2211,1,,is still law of land as you republicans love to say get over it
2222,1,,it's not anti-abortion it's pro-life
2224,1,,i'm not pro choice i'm pro
2231,1,,#marchforlife fact if you want to reduce fund planned parenthood lowest demand for are when all women have access
2232,1,The Socialist Republic of CA,and yet here you are saying women arent smart enough to prevent pregnancy only option is
2233,1,,meat is murder is great
2238,1,,if you don't like don't have one glad i could help #marchforlife
2253,1,"Republic, MO",literally no one stays pregnant for months and then gets an just because if thats your argument then shut fuck up
2266,1,Elysian Fields 401,all these people who are anti-abortion make me sick
2281,1,NY,if my catholic education taught me anything its that and access to is human right sorry sisters
2287,1,"Dublin, Ireland",i don't understand people being opposed to it's uncivilised
2306,1,,women are not incubators i suggest all pro birth men lead life of abstinence to prevent need for
2308,1,,just lol viewing as somehow more evil than futureless unwanted people or not realizing it was made to expunge minorities
2309,1,"Corpus Christi, TX",march for life proponents can choose not to have an and rest of us can make our own choice
2310,1,,this is so inappropriate is legal
2320,1,"Charlotte, NC is still Blue!",is real if you dont believe in it youre an idiot
2324,1,"West Hollywood, CA",pro-life people act like women who need an are having best time of their lives
2325,1,,say it with me making illegal doesnt end it ends safe
2329,1,Here and there,pity less kids for grand old pedophile to abuse no wonder they are against less victims
2379,1,Leanworld,should spark debate in texas for safe practices almost textbook example as to why rights matter
2395,1,University of Central Florida,th annual #marchforlife was today i'm assuming maybe people in crowd actually understand regulations #prochoice
2401,1,USA,is woman's right #marchforlife #lovesaveslives
2416,1,QUEEN OF SECANE ,wtf yall havin anti marches for u gonna take care of babies didnt think so
2440,1,"Los Angeles, CA",march to make less safe cuz there will still be just at higher rates women will die
2444,1,"Kentucky, USA",it shows their ignorance and harmful thinking that women who want an to it for birth control
2449,1,"New York, NY",is legal
2453,1,"Texas, USA",late term or partial birth should never be on table unless and only mothers life depends on it period
2455,1,"Studio City, CA",you can choose not to have an but let that be my own choice please
2463,1,"Western Wisconsin, USA",don't like make condoms and birth control free #marchforlife
2464,1,"Madison, WI",it would be more humane for both mother and fetus to let her have an
2467,1,Some where being faithful ,aheee im pro-choice but mama please stop after
2472,1,san junipero,is legal
2477,1,"Hurley, NY",what in hell is sitting president doing speaking at an anti rally is legal #notnormal
2489,1,"New York, USA",sorry whos forcing you to get an
2496,1,,same people who are against have no problem to support capital punishment out of racial reasons or bigotry
2516,1,,i agree should be safe free and legal for disadvantaged minorities
2517,1,British Columbia,proud to live in country where support rights
2520,1,Los Angeles,if you've ever heard from woman who actually needs late term you are monster to oppose them
2523,1,lvlky,don't have an then
2527,1,"Honolulu, HI",they are just anti they could care less about lives
2553,1,,if anti people felt like they had decent argument then their arguments wouldnt be so filled with lies #plannedparenthood
2561,1,The Clam Shell,since all fuckers are at anti-abortion rally we can finally get our planned parenthood provided pap smears in peace
2571,1,talk to my lawyers,i love when anti people think they have any valid points at all lmao
2572,1,,must b controlled by women keep government hands off my reproductive organs destiny
2573,1,"Dublin, Ireland",lol is still illegal in all forms in ireland even in situation of rape
2576,1,,is womans right is womans right is womans right is womans right
2581,1,Proctor Oklahoma,i believe in no after weeks unless mothers life is in severe danger
2582,1,"South Laurel, MD",fuck all dat anti-abortion shit im all fo it do you hear me
2583,1,"Lubbock, TX, Anson Tx",but i beg to ask question how can you be democrat and be christian if you believe that is killing baby
2585,1,Qo'noS,i'm pro coice but also condemn using as contraception had such colleague when i was at university x
2586,1,nowhere,if i want to murder someone is it your business i hope not same with
2590,1,"Virginia, USA",if woman want to have she can its not your business are you going to take care of it
2592,1,The Forgotten City,stay out of muh uterus but pay for muh
2593,1,calipornia yeetza kitchen,i would be against if i didnt hate babies
2598,1,Boston,how fuck are you still against lmao i don't view it as valid opinion where do these sub humans come from
2612,1,,anti policies are unconstitutional that was whole point of roe vs wade
2622,1,"Roscommon, Ireland",being pro-life is when you think is bad but using chemical weapons banned internationally is fine as long as its used on muslims
2630,1,"Ontario, Canada",for women who have right to make decision on whether or not they have an
2643,1,United States,this is why you dont make illegal anywhere
2647,1,,is safer for woman that giving birth telling her otherwise is lying to manipulate her
2649,1,"Conyers, GA",just saw trump speech republicans just love children who are born into poverty at least until they exit womb
2662,1,In My Head And Heart,aholes if men got pregnant would be right and not choice
2670,1,"Seattle, WA",true biblical cherry picker thank you for this exchange it's why is still legal
2671,1,,good for you if you oppose dont have one simple
2703,1,,seriously now youre doing an anti-abortion day how about womans freedom to choose
2707,1,,ive seen people say this before but if is murder than masturbation is genocide
2710,1,,rights are women's rights are human rights we cannot claim freedoms for ourselves if we deny them to others
2712,1,"Lakewood, ca",what about pregnant woman who needs an or she will die does she get right to life
2713,1,,pro lifers are seriously gonna restrict access while not giving fuck if chip gets funded
2715,1,"Albuquerque, NM",i'm pro choice even on late term but this doctor put lives at danger what he did was illegal
2727,1,11/27/16,if you judge someone for getting an ur fucking asshole
2739,1,,and if you dont want make birth control pills free for women its really that simple lol
2743,1,"Mobile, AL",how so bradley is safe and legal
2762,1,South Jersey,dont believe in dont have one #prochoice
2768,1,,i'm not really sold on moral argument i think should be legal for pragmatic reasons
2776,1,,you want to stop you want to stop birth control and you want to stop health insurance and chip im missing logic
2778,1,"Karachi, Pakistan",anti-abortion ppl are some times themselves best case for
2780,1,,we are not going back there no way no how if you don't want an don't have one #impeachtrumpnow
2802,1,,anti-abortion marchers absolutely disgust me tormenting women who are living through hell just because of obsession to control them
2811,1,Uk.,is perfect example exact reason and very illustration of why must be woman's choice
2826,1,Kremlin,we should not end instead we should promote contraception and adoption
2829,1,LA ☀️,so much for land of free you can't even decide if you wanna get an or not thanks to gop
2830,1,"Santa Cruz, CA",if he doesn't want to have an nobody will force him to personally i would reccommend that belly is ridiculous
2840,1,"Texas, USA",if you dont like so much then either dont do it or teach about birth control more fr its not that deep
2845,1,Over the Rainbow,i had an argument with my mom yesterday about and i just fucking cant with her my body my rules
2849,1,"Los Angeles, CA",idiot assholes #resist #prochoice is my god damn right #handsoffmybody
2864,1,Home is where the heart is,pretty sure that you as man need to shut fuck up on subject of no one asked you goddamn thing
2865,1,The Aether,if you are anti you better have adopted more kids then you have birthed into this world or your hypocrite
2875,1,,majority of this country supports
2877,1,"Madison, WI",dont want one dont get one doesnt concern you not your baby not your body then stfu there its solved
2878,1,,must remain legal and safe unless thats outcome you want you can punch yourself right in fart box
2887,1,604,fuck this anti-abortion pro-life bullshit
2894,1,...in the SHITHOLE of the SOUTH,if you don't want an abortionthen don't get an
2908,1,"West of Chicago, Illinois",dont want an ladies dont have one
2931,1,USAhttps://twitter.c,keep legal and safe #mybodymychoice #roevwade
2941,1,,stupid fuck is law so you cannot stop them
2944,1,right here,my opinion don't like don't have one mind your own fucking business #marchforlife
2955,1,Sacramento,is legal
2977,1,,yes should be available on demand and for free
2980,1,"San Francisco, CA",for every you don't have i'll take as well as pastrami on rye sandwich and lollipop
2984,1,,access is human right
2988,1,"Beaverton, OR",want to see rates plummet fund comprehensive sex ed make birth control available and #standwithpp
2992,1,,keep legal #choice
3006,1,,not really its pro choice not pro let people make their own decisions about their body
3015,1,,#marchforlife if youre stupid enough to think should be illegal but starting nuclear war is fine
3018,1,,is legal and if it's going to stay legal deal with it
3020,1,,is wrong but shit happens and woman should be should be able to have that option or not
3028,1,"North Carolina, USA",so manypro-lifers lose credibility when they concern themselves solely on
3032,1,Hollywoodland,#marchforlife will never end only possibly safe women will die
3036,1,Behind the fridge. ,so you see logic i'm not saying is good thing but it is at times necessary
3043,1,Nowhere and Everywhere,this that yen yen yen aunty mind your ovaries is it your
3052,1,by the sea,i believe in free access to birth control adoption education reform to be uniform limited to wks unless med necessary
3055,1,"Texas, USA",one could have saved us from trump #prochoice
3058,1,the wastelands,is good it replaced infanticide and abandonment of infants as regular method of controlling family size
3063,1,,i don't like personally but everyone has choice and i wish your mother had aborted you
3066,1,,do you have vagina uterus ovaries or so who is considering an no then perhaps you shouldn't have say
3072,1,lousy,this is dangerous bullshit you tell us but take notice we will defend our law till death fucking ignorant fools
3083,1,,listening to this makes me want to get pregnant just so i can get an
3084,1,,women must always be allowed to make their own decisions on weeks is too long unless health issues prevail
3092,1,,trump is # reason why we need case closed
3095,1,,what fuck i love now
3115,1,,not 'everyone' wants to prevent i'm one of people who ar for women having
3117,1,USA,there are many reasons women choose to have an you don't get to tell her what to do with her uterus #marchforlife
3127,1,SoulCal,if you refuse woman an when her life is in danger you are not #prolife you are #probirth #marchforlife
3131,1,"New Mexico, USA",#marchforlife official washington is proof should be legal
3140,1,,is a womans right
3141,1,,I am pro choice
3142,1,,fetuses are incapable of feeling pain 
3143,1,,access to legal reduces maternal injury
3144,1,,modern procedures are safe
3145,1,,women who receive are less likely to suffer mental health problems
3146,1,,gives pregnant a women the option to choose
3147,1,,women who are denied are more likely to become unemployed
3148,1,,reproductive choice protects women from financial disadvantage
3149,1,,a baby should not come into the world unwanted
3150,1,,reduces welfare costs to taxpayers
3151,1,,reduces crime
3152,1,,is justified as a means of population control
3153,1,,I support
3154,1,,I believe a woman should have the choice
3155,1,,women have a moral right to decide what to do with their bodies
3156,1,,the right to is vital for gender equality
3157,1,,the right to is vital for individual women to achieve their full potential
3158,1,,banning puts women at risk by forcing them to use illegal
3159,1,,women can choose to end a pregnancy
3160,1,,I had an at a young age and am not broken or ruined I am thankful
3161,1,,is bad ass
3162,1,,is a good thing
3163,1,,should be legal end of story
3164,1,,I am pro
3165,1,,get an if you want one
3166,1,,free and on demand
3167,1,,men have no say in what I do with my body
3168,1,,banning is condemning women to die
3169,1,,legalizing does not mean more
3170,1,,is your right 
3171,1,,do what you want with your body
3172,1,,fetuses are unlikely to feel pain until the third trimester of pregnancy
3173,1,,I support plannedparenthood
3174,1,,I support planned parent hood
3175,1,,rights should not involve religion
3176,1,,should be available for rape victims
3177,1,,the ability of a woman to have control of her body is critical to civil rights
0,0,"Milford, CT",million unborn children have lost their lives to think #stevejobs #davethomas
1,0,"Atlanta, Georgia",#prolife #parenthood #babies #motherhood #pregnant #pp #plannedparenthood #genocide for money #bloodmoney #maga
2,0,,definitely not safe for baby
3,0,,i think she wants to see herself as #prolife and pro but with no empathy for unborn
4,0,,I hate abortion
6,0,"Columbus, OH",girl scout troops leave #ohio senate in middle of bill debate
9,0,Somewhere in North West,is #electivesurgery it should never be free of charge
10,0,,destroying life doesn't make life better it takes life leaves you empty #depression #prolife #istandlife #marchforlife
11,0,Ireland,what do you think about decision to limit access in #ireland to #weeks vote here
12,0,ExpectTheHolySpirit,i plead blood of jesus over my sins and sins of america #god end and send #revival to #america #jesus heal #america
13,0,"Taluyers, France",tomi is an abortionist #prolife
14,0,,should be illegal period abortionismurder
16,0,"Austin, TX",sad to see advertising condoning #planbonestep
17,0,,if i got pregnant right now i can honestly say my first reaction would not be
19,0,"Blarney, Co. Cork, Ireland.",as case against her has with
20,0,,imagine if you had an like millions and millions of females in #america wow crazy
22,0,"Phoenix, AZ ♥",vote yes on hr to protect babies who have been born alive during an
23,0,"Oregon, USA",are they worrying about miscarriages in ice custody when they probably support abortionismurder
27,0,,no one has right to take life because it is god's property #deathpenalty
28,0,Fordham University,annual reminder that being #feminist and opposed to are not contradictory conditions
33,0,,#fdlx protesters 'said i was murderer' #news
34,0,ExpectTheHolySpirit,i plead blood of jesus over my sins and sins of our nation #god end and send #revival to #america #jesus heal #america
35,0,,brilliant and mature reply barbie has an attitude
37,0,,most women decline option for fetal anaesthesia when they have an why you guessed it
41,0,USA,was madness #islam symtom both curse of our generation
42,0,,keep waiting i cant chat all day sells baby parts is murder
43,0,"Connecticut, USA",abortionrape #lorionliberty
44,0,"New Hampshire, USA",is indeed murder #prolife
45,0,"Longs, SC",i maintain that if procedure for was never created world would not be worse off #prolife
46,0,The Beautiful South,it shouldnt be taboo to criticize parents for killing them either
47,0,"Lake Forest, CA",calling me names is not going to stop and it wouldnt even if i didnt believe abortionismurder
50,0,,how can you be angry about deporting children if you are ok with aborting them #prolife #democrats #daca #immigration #dacadeal
52,0,,#justintrudeau is murderwho cares what #trudeau says
54,0,Chicagoland,is bad for women #lovesaveslives #marchlifechi
55,0,,if you had an don't raise your hand fix your face because it's ugly after that demon and unclean spirit gets rebuked
56,0,"Texas, USA",if you don't consider nasty word then you should shut your morally relative mouth regarding word #chithole
58,0,,as we approach anniversary of roe v wade if women children aren't problem why is solution #whywemarch
59,0,Assisting the naive ,'not judging but girls that use plan b as birth control should really consider using condoms #sterile #health #responsible
60,0,"Sydney, New South Wales",it amazes me how human #fetus is just 'lump of cells' but on #mars anything that's cell is 'life' #prolife
61,0,Live With The Word Within You.,and sad fact is that there were #healthy #babies who weighed more and were given zero chance
62,0,,voices for voiceless he wishes to silence #prolife
63,0,ZA,but we do have 'our' innocent babies being killed by state
70,0,"Toronto, Ontario",is form of #murder
71,0,The West is the Best,im #prolife unless #trudeau is going to have baby then im all for
74,0,"Calgary, Canada",doesn't only kill your baby but it could also kill you be #smart #wise prevent unplanned pregnancies #healthyliving #women
75,0,,she can't relate with you she didn't have an right she's beautiful momwith big fan
76,0,Midwest Murica',dont forget he would have been #antiabortion kills black babies #mlkagainstabortion
79,0,,is #population #control
82,0,,i think there are lot of #prochoice folks who are wounded by in some way my prayer is that they find healing
84,0,,will never vote democrat as long as they support and put illegals before americans just for starters
87,0,,#christians could get to pulpit and end if wasn't for excuses offending people are we standing on sand or rock
89,0,"Dublin, Ireland.",how many unconceived there must be because mothers died to save one child
90,0,,for #immigration control sounds so much like #eugenics
91,0,"Naples, FL",because is #murder
92,0,"Downers Grove, IL",every child is perfect and has purpose #prolife #wonderfullymade #inspiration #scripture #makeadifference
93,0,"Oklahoma, USA",#annoysmemorethananything people who think isn't murder
94,0,"Cincinnati, OH",i know this sounds insane but there exists survivors of
95,0,www.eileencronin.com,please do more to #include #disabledwomen because #gop is using #disability to argue
98,0,,record i've never been entirely against st term it's post birth #dilationandextraction #infanticide that bothers me
99,0,"Atlanta, GA",its very hard to take you seriously knowing road to is paved w green
102,0,"Simi Valley, CA",is always murder war in mommy's body is never necessary or okay to do no good can come from it
103,0,,#parenting decision young girl goes in for no parental notification cant have it both ways #defund pp now
106,0,"Mississippi, USA",stop repeal #johnsonact
107,0,"Sturgis, KY",#prolife #blacklivesmatter #blacktwitter #tcot that is fing sick absolutely disgusting
112,0,"Cardiff, Wales",so says no #smacking errant children but ok to crush brains and dismemberment of innocent children
114,0,"Downers Grove, IL",god knows your purpose long before womb #prolife #purpose #inspiration #scripture #inspirationalscripture #masterpiece
115,0,"Washington, UK",read story of how i survived #thegreatestdebtortohislove get yor copy from give that #child chance
116,0,"California, USA",is violation of laws of nature and nature's god abortionhurts
117,0,,to ploumen's shedecides should be added often under pressure #abortus
118,0,"IndianTerritory,Oklahoma",so what is position on is she down with continuing to mass murder yet-born american citizens most african american
120,0,"Tulsa, OK ",life begins at conception and ends at planned parenthood
121,0,"MidWest, USA",to even agree with is #murder in your heart to god i love you jesus thank you father
124,0,"Fayetteville, NC 🇺🇸",dont get twisted sister kills
125,0,Midwest,if you're #christian that thinks life begins at conception then think of it as fast track to heaven instead of an #atheist
126,0,United Kingdom,how is appointing women who believes is harmful to women glitch #prolife #biasedbbc
127,0,"Wirral, UK",and rights of unborn child do they not enter into your thinking #reshuffle
128,0,,unless of course you're deemed unworthy of being born
129,0,Ossining -- but not Sing Sing,how to make today's #liberals and #progressives change their stance on tell them all babies born henceforth will vote #democrat
131,0,,you are correct is #murder
133,0,United States,#plannedparenthood true motto #nomatterwhat #whywemarch #defundpp #adoption #istandagainstpp
134,0,United States,let us fight with #adoption #adoptionsaveslives abortionhurtswomen
135,0,United States,every is denial of receiving #jesus mother teresa #whywemarch #marchforlife abortionhurtswomen #chooselife
137,0,Probably at Church or a Bar,so #lobsters feel pain and we shouldn't boil them alive but is healthcare #prolife #chooselife
139,0,USA,political correctness - being replaced in millions by #immigrants killed in millions by - and told to accept it
140,0,"Chilliwack, British Columbia",if youre pro- but wont cook lobsters alive because they feel pain youre stupid #hypocrite
142,0,,if minor cant drive after pm vote or drink why can an unaccompanied minor get an #defundpp
145,0,Cyberspace,is totally fine though right
146,0,Georgia,is unjust and it is bad policy #lincoln #efl
148,0,"Afton, VA",yet they still have legal there hmm
152,0,,why do liberal democrats support killing of human babies #prolife
153,0,,canada taxpayer funded for sex selection #canada #taxfunded #tax #life #baby #pray #whywemarch
155,0,,canada taxpayer funded for sex selection #canada #taxfunded #tax #life #baby #pray
156,0,,#goodnews is murder
157,0,,i wonder how much money we could raise to protect living children if we didn't spend it on
158,0,International,hurts mothers fathers families and society so that is #whywemarch #marchforlife #shockwaves
161,0,"Louisiana, USA",pray against powers of darkness not award them pontifical medals of honor #catholic #marchforlife
163,0, Ireland ,hey i've got #choice for you those who promote are either ignorant or malevolent pick one
166,0,"Kaufman, Texas",is to #democrats now as slavery was to them before #republican president published emancipation proclamation
167,0,Georgia,decrying reality that american culture views as disability prevention #efl #marchforlife
168,0,Paradise,pity #advocates do not #abort themselves
169,0,,god bless and protect unborn is murder
170,0,"Whitestone, Queens",why are all industries in low income neighborhoods #educate #wakeup #womendeservebetter
173,0,,that should say against
175,0,,thank you for your stand against
176,0,"Vista, CA",#whywemarch lets keep praying to end
178,0,Vill Janak Jagger Bareily Up ,soceal of evil an ttpswwwnewstrendnewsknow-what-happens-after-abortion
181,0,"1776 Freedom Lane, America",calls pro-life march an anti-abortion rally despicable how media has been bought out by left #marchforlife
182,0,"Cleveland, Ohio",heres thought experiment replace with slavery and see if- lemme stop you right there
184,0,"Arkansas, USA",remember what great ronald reagan said you people that are for have already been born
186,0,"Cincinnati, OH",text march to to join your voice in ending #whywemarch #lovesaveslives #marchforlife
187,0,,dems sacrament is
190,0,North Carolina,funny how people that are for are alive-president ronald reagan #marchforlife
191,0,Britain,is full screen photograph of atheist morality
193,0,"Spokane, WA",kills babies march for life praying for god to change things
194,0,,is legal but it's inhumane and morally wrong i am happy for anyone who stands for life
195,0,United States of America,trump steps to forefront of anti-abortion movement
196,0,traveler ,they should show this at every clinic
199,0,,it's now criminal for doctors to refuse to protect survivors fetus that has survived and failed an
200,0,With my dog,survivors wtf
203,0,,#marchforlife #whywemarch #releasethememo dude end freaking demonic baby killing business #plannedparenthood
205,0,"Arlen,Texas",bingoyou can't call yourself christian and be pro there is no gray area #prolife
206,0,"Birmingham, UK",over million lives lost through in usa in last years #whywemarch #lovesaveslives
208,0,"The 816 (Kansas City, MO)",we must pray each and every day for end to evil of life must be cherished at all stages
210,0,,#defundpp it is time to stop funding giant in america not one more cent to moloch hungry for innocent blood #ppkillsbabies
211,0,Pittsburgh,#marchforlife #whywemarch to end not just to defund planned parenthood we need life amendment #solidaritychat
214,0,North Carolina,funny how people that are for are alive-ronald reagan #marchforlife
215,0,USA ,#marchforlife #catholic #prolife pray to stop
216,0,"Greenville, SC",text march ro to commit to ending #whywemarch
217,0,South ,please explain why pope gave an award to an activist
219,0,"St Paul, MN",disempowers women #whywemarch
222,0,,#marchforlife #lovesaveslives #whywemarch let scourge of finally come to an end it's time
223,0,,is murder
224,0,United States,#whywemarch #marchforlife is not form of birth control
225,0,,is cool killing baby killers on death row not cool -liberals
226,0,,there is nothing lower than mother who kills her own baby is evil
227,0,"Maryland, USA",harms #women #marchforlife
228,0,,yeah agree his stance on gun control and is pretty terrible
231,0,,does kill children new human is created at fertilization regardless of degree of development
232,0,”Wherever whores go.”,how come when it's us it's but when it comes to chickens it's omelette -gc
233,0,,other than rape incest there are no excuses for
234,0,,march for life president trump is anti-abortion
235,0,,is nothing to do with women's rights to portray it as such is dishonest and stupid
238,0,,praying for those marching in dc today and for absolute end to #marchforlife #whywemarch #lovesaveslives #ewtn
241,0,"Washington, DC",over these past years has claimed lives of over million americans and their loss is grieved #marchforlife #prolifeyouth
244,0,USA,abortionhomicide is not reproductive right
247,0,,today is very special day for all of us yes lifeno c-span where is march for life
249,0,"Slippery Rock, PA",is profoundly anti-women three quarters of its victims are women half babies all mothers mother teresa
250,0,USA,abortionhomicide
252,0,"Massachusetts, USA",allowing allows killing of kids you arent making sense
255,0,,to date i have never con across pro vegan this sounds made up
261,0,,i hope to god one day we will look at in same way we look back at slavery and say how did we let this happen
264,0,"Colorado, USA",every person that supports should have to witness one first hand of them would change their minds
265,0,Earth,there are times when i have questioned doubted and even denied my christian faith i have remained anti-abortion my entire life
266,0,"Clearwater,Fl",he was pro until he found republican jesus
267,0,"Wherever I go, there I am.",at what point will we stop pretending that is not murder of child
272,0,Ohio,#marchforlife today pray to end everyday #alllifematters
277,0,"Jackson, MI",no one likes and wants to prevent it i'd beg to differ that's why they march
285,0,,modern liberalism is cult is its only sacrament #marchforlife
286,0,Dallas/Ft. Worth Tx,left confuses blurs line between procedure
287,0,"Dublin City, Ireland",birth is natural occurrence nothing to do with force isn't medicine
294,0,,is only thing that shouldnt be option
295,0,"Dublin City, Ireland",is free ride no responsibility for men
297,0,"St. Louis, MO",i prefer term pro-life because theres heck of lot more to position than single issue of
298,0,USA,if he were racist he'd be for not against it
299,0,"Laguna Beach, CA",anti-abortion rights movement are you kidding me w that terminology can't call it pro-life movement pro-life supporters
300,0,"Denver, CO",we love what you are marching for god is life stop now
302,0,Somerset/Portsmouth,so donald trump now believes laws are wrong and must change i wish that surprised me but i expect nothing less from him
306,0,Neo-Byzantine Empire,ive always been pro-life and i always will be i pray that our country will end #marchforlife
307,0,Waiting for the SUN,with all due respect is shithole choice no one no one ever wants one
311,0,,so is an act of murder and irresponsibility
315,0,,only if #plannedparenthood clinics were life clinics but it's just an clinic
320,0,,ive noticed everyone who is for has already been born reagans words hold strong today #marchforlife
321,0,"Washington, DC",nursery in an clinic is freezer where bodies are held #marchforlife #prolifeyouth
324,0,The Shire,when you say that woman had better have an it's not just child that you call unwanted but woman too
328,0,"Charlotte, NC",what pathetic joke only mikey cares about could care less
329,0,"Puddletown, North America",what are you doing to make birth control available so that won't be consideration
332,0,,yes under circumstances but in states you can have an months pregnant
333,0,"Concord, NC",support hr born-alive survivors protection act
334,0,xxx xxx,is murder #marchforlife
337,0,,jones their whole thing is with trump going after theres no way no way hes with illuminati
338,0,United States,ppl is no different than german gas chambers germany committed mass murder and ppl commits mass murder with
341,0,"Silver Spring, MD",you have no right speaking about and its not religious freedom
342,0,Depends where I am.,asked if there was any case in which he did support donald trump quickly replied eric #marchforlife
344,0,,there's no difference between being pro and pro death
346,0,,failure is country that brings in an admission it lacks foresight and willingness to protect weak #savetheth
349,0,,permissive laws
357,0,"Seguin, TX",will phase out like slavery
360,0,,paul ryan today we passed born alive protection act to protect babies born alive after #marchforlife
365,0,,ban fk youre right to murder
372,0,,is murder their blood cry out to god of abraham tothe god issac to god of jacob tothe god of israel
375,0,USA,i take it whoever wrote this would have went right to get an
377,0,"Washington, DC",today we passed born alive survivors protection act #marchforlife #prolifeyouth
379,0,ohio,we need to defeat terrorists we need to help israelwe need to end there are other options
380,0,,give it up naral is not an answer for your disputes with trump #whywemarch #wnyimarch #marchforlife #masslife
387,0,London by way of Eastbourne,trump announces america is more pro life and us laws are wrong and need changing
399,0,"Washington, DC",we dont want restricted we want abolished
400,0,"California, USA",only of americans support on demand yet media makes it look unanimous
402,0,"Baltimore, MD",shows their disdain for pro life rally for life by disrespectfully refering to it as anti demonstration #fakenewscnn
403,0,,im against but i dont think this country needs anymore low wage workers
404,0,,is not right you moron just because something is legal doesn't mean it's moral slavery was legal at some point
406,0,"Birmingham, AL",i was adopted after failed we should be doing everything we can to promote adoption and end #marchforlife
413,0,,president trump - your speech at anti-abortion rally was wonderful truly beautiful and much needed god bless you and your family
420,0,,victims did not break any laws but laws are breaking them pray to end
421,0,"Fayetteville, NC",is murder period
422,0,"Columbus, Ohio",i wrote short film were an happens but it is only ever graphically referred to as murder
423,0,Corner of Truth & Freedom,if is not wrong nothing is wrong
424,0,United States,you aren't human until you're years old i support well into th trimester
430,0,"Lincoln, NE",disgusting and unforgivable sounds like to me
431,0,paris,is murder history will judge you for monsters you are
434,0,,i wonder how many women djt has been with who have had an this is disgraceful i hope only one comes forward
442,0,Seat,donald trump us laws 'wrong' and 'must change' -- sky news
444,0,Kansas City,they see ending as christian yes
446,0,,he is allowed to have his own opinion there's nothing wrong with encouraging adoption over
447,0,PNW,it's not brave to get an it's #brave choice to keep and raise your child like an adult #marchforlife
448,0,"Chicago, IL",because #marchforlife is about ending duh
449,0,,time to turn over some tables drive out those who fund name funders - hold them to account
450,0,"The Bronx ,New York",how wonderful how inspiring god bless pres trump room at inn positive alternative to helping women
451,0,"Borders, Language, Culture.",#marchforlife because having an is just leftists way of avoiding responsibility for their actions
453,0,Montreal,thats horrible why would woman even want an so far along
456,0,"Seguin, TX",unbelievable will fade out like slavery
457,0,"Somewhere, USA",pro-choice is women's health issue me roughly half of human beings aborted would be women #marchforlife
464,0,,i edited her statement to make more sense is legal - it is disgusting
465,0,,is murder their blood crys out to god of abraham god of issacthe god jacob god is israel
473,0,,no u wont god is against and if you vote democrat then you vote murder
477,0,United States,only of americans believe in on demand at any time - #whywemarch
481,0,Ohio ,god call america to repent on this and now we got president that's going to stand for it america will be blessed
492,0,United States,glad our prez is anti-abortion babies need protection ditto for animal rights
499,0,san luis obispo,not unless she got pregnant and had an #throwthebumsout
503,0,"UK, Christendom",i intend tountil is outlawed
507,0,Canada,stop just stop new canada party
508,0,,is murder
509,0,"Phoenix, AZ",jokes on you conservative scotus justice and cut funding
510,0,"Minnesota, USA",no one would go thru all that happens to ones body and then just magically decide to have an abortiontupid
524,0,"Washington, DC",it is so easy today to assume we can gloss over differences of faith because is contrary to natural law
528,0,,only us north korea and china and more countries allow late term sick
530,0,social democracy babey,i'm pro-life i support criminalization of and i also support death penalty
537,0,The Shire,doesn't delay motherhood it eliminates child that one already has
538,0,"Florida, USA",an at months might as well have baby and shoot it in head this world is truly coming to an end
543,0,,- it's not an anti-abortion march it's pro-life march #marchforlife #lovesaveslives
546,0,Florida,and are calling washington dcs march for life rally anti-abortion and not pro-life #marchforlife
547,0,Southern California ,wow sick u use pro-choice instead of pro-death and anti-abortion instead of pro-life
550,0,,destroys those who cannot defend themselves hypocrites
558,0,"Chicago, IL",it's always so transparent how important it is for them to pretend doesn't kill baby they know that's hard sell
571,0,United Kingdom,very much dislike donald trump and im pro-choice but his speech on alternatives to is good
573,0,las vegas,babies have lost their lives to since in united states #marchforlife
583,0,,does no vote on 'born-alive survivors protection act' mean those people voted yes to killing live babies
595,0,an o'neill cylinder at a convenient lagrange point near you.,imagine how great it would be if trump's anti-abortion speech went along lines of 'folks is awful believe me i know'
604,0,"Tacoma, WA",i don't agree with either it's murder but change society not laws
